CONSTRAINT_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,CHILD_SCHEMA,CHILD_TABLE,CHILD_COLUMN
FK_EmployeeDepartmentHistory_Department_DepartmentID,HumanResources,Department,DepartmentID,HumanResources,EmployeeDepartmentHistory,DepartmentID
FK_Document_Employee_Owner,HumanResources,Employee,BusinessEntityID,Production,Document,Owner
FK_EmployeeDepartmentHistory_Employee_BusinessEntityID,HumanResources,Employee,BusinessEntityID,HumanResources,EmployeeDepartmentHistory,BusinessEntityID
FK_EmployeePayHistory_Employee_BusinessEntityID,HumanResources,Employee,BusinessEntityID,HumanResources,EmployeePayHistory,BusinessEntityID
FK_JobCandidate_Employee_BusinessEntityID,HumanResources,Employee,BusinessEntityID,HumanResources,JobCandidate,BusinessEntityID
FK_PurchaseOrderHeader_Employee_EmployeeID,HumanResources,Employee,BusinessEntityID,Purchasing,PurchaseOrderHeader,EmployeeID
FK_SalesPerson_Employee_BusinessEntityID,HumanResources,Employee,BusinessEntityID,Sales,SalesPerson,BusinessEntityID
FK_EmployeeDepartmentHistory_Shift_ShiftID,HumanResources,Shift,ShiftID,HumanResources,EmployeeDepartmentHistory,ShiftID
FK_BusinessEntityAddress_Address_AddressID,Person,Address,AddressID,Person,BusinessEntityAddress,AddressID
FK_SalesOrderHeader_Address_BillToAddressID,Person,Address,AddressID,Sales,SalesOrderHeader,BillToAddressID
FK_SalesOrderHeader_Address_ShipToAddressID,Person,Address,AddressID,Sales,SalesOrderHeader,ShipToAddressID
FK_BusinessEntityAddress_AddressType_AddressTypeID,Person,AddressType,AddressTypeID,Person,BusinessEntityAddress,AddressTypeID
FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID,Person,BusinessEntity,BusinessEntityID,Person,BusinessEntityAddress,BusinessEntityID
FK_BusinessEntityContact_BusinessEntity_BusinessEntityID,Person,BusinessEntity,BusinessEntityID,Person,BusinessEntityContact,BusinessEntityID
FK_Person_BusinessEntity_BusinessEntityID,Person,BusinessEntity,BusinessEntityID,Person,Person,BusinessEntityID
FK_Store_BusinessEntity_BusinessEntityID,Person,BusinessEntity,BusinessEntityID,Sales,Store,BusinessEntityID
FK_Vendor_BusinessEntity_BusinessEntityID,Person,BusinessEntity,BusinessEntityID,Purchasing,Vendor,BusinessEntityID
FK_BusinessEntityContact_ContactType_ContactTypeID,Person,ContactType,ContactTypeID,Person,BusinessEntityContact,ContactTypeID
FK_CountryRegionCurrency_CountryRegion_CountryRegionCode,Person,CountryRegion,CountryRegionCode,Sales,CountryRegionCurrency,CountryRegionCode
FK_SalesTerritory_CountryRegion_CountryRegionCode,Person,CountryRegion,CountryRegionCode,Sales,SalesTerritory,CountryRegionCode
FK_StateProvince_CountryRegion_CountryRegionCode,Person,CountryRegion,CountryRegionCode,Person,StateProvince,CountryRegionCode
FK_BusinessEntityContact_Person_PersonID,Person,Person,BusinessEntityID,Person,BusinessEntityContact,PersonID
FK_Customer_Person_PersonID,Person,Person,BusinessEntityID,Sales,Customer,PersonID
FK_EmailAddress_Person_BusinessEntityID,Person,Person,BusinessEntityID,Person,EmailAddress,BusinessEntityID
FK_Employee_Person_BusinessEntityID,Person,Person,BusinessEntityID,HumanResources,Employee,BusinessEntityID
FK_Password_Person_BusinessEntityID,Person,Person,BusinessEntityID,Person,Password,BusinessEntityID
FK_PersonCreditCard_Person_BusinessEntityID,Person,Person,BusinessEntityID,Sales,PersonCreditCard,BusinessEntityID
FK_PersonPhone_Person_BusinessEntityID,Person,Person,BusinessEntityID,Person,PersonPhone,BusinessEntityID
FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID,Person,PhoneNumberType,PhoneNumberTypeID,Person,PersonPhone,PhoneNumberTypeID
FK_Address_StateProvince_StateProvinceID,Person,StateProvince,StateProvinceID,Person,Address,StateProvinceID
FK_SalesTaxRate_StateProvince_StateProvinceID,Person,StateProvince,StateProvinceID,Sales,SalesTaxRate,StateProvinceID
FK_ProductModelProductDescriptionCulture_Culture_CultureID,Production,Culture,CultureID,Production,ProductModelProductDescriptionCulture,CultureID
FK_ProductDocument_Document_DocumentNode,Production,Document,DocumentNode,Production,ProductDocument,DocumentNode
